speech_id,president,speech_title,src_file
Trump_2016_07_22,trump,"Donald Trump, Republican presidential candidate, delivers remarks to volunteers at the Republican National Convention",./Total_Corpus of Presidential Speeches/Trump_2016-07-22.txt
Trump_2016_07_25,trump,"Donald Trump, Republican presidential candidate, and Gov. Mike Pence, Republican vice presidential candidate, hold a townhall meeting",./Total_Corpus of Presidential Speeches/Trump_2016-07-25.txt
Trump_2016_07_26,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at the VFW Convention",./Total_Corpus of Presidential Speeches/Trump_2016-07-26.txt
Trump_2016_07_27_A,trump,"Donald Trump, Republican presidential candidate, holds a news conference",./Total_Corpus of Presidential Speeches/Trump_2016-07-27-A.txt
Trump_2016_07_27_B,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event",./Total_Corpus of Presidential Speeches/Trump_2016-07-27-B.txt
Trump_2016_08_01,trump,"Donald Trump, Republican presidential candidate, deliver remarks at a campaign event",./Total_Corpus of Presidential Speeches/Trump_2016-08-01.txt
Trump_2016_08_02,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Ashburn, Virginia",./Total_Corpus of Presidential Speeches/Trump_2016-08-02.txt
Trump_2016_08_04,trump,"Donald Trump, Republican Presidential Candidate, holds a campaign rally in Maine",./Total_Corpus of Presidential Speeches/Trump_2016-08-04.txt
Trump_2016_08_05,trump,"Donald Trump holds a campaign rally in Green Bay, WI (24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-05.txt
Trump_2016_08_08,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at the Detroit Economic Club",./Total_Corpus of Presidential Speeches/Trump_2016-08-08.txt
Trump_2016_08_10,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks in Abingdon, Virginia",./Total_Corpus of Presidential Speeches/Trump_2016-08-10.txt
Trump_2016_08_12_A,trump,"Donald Trump, Republican Presidential Candidate, holds a campaign rally in Altoona, PA (24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-12-A.txt
Trump_2016_08_12_B,trump,"Donald Trump, Republican Presidential Candidate, holds a campaign rally in Erie, PA (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-08-12-B.txt
Trump_2016_08_15,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks in Youngstown, OH (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-08-15.txt
Trump_2016_08_16,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in West Bend, WI (24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-16.txt
Trump_2016_08_17,trump,"Donald Trump, Republican Presidential Candidate, participates in a Fox News townhall event",./Total_Corpus of Presidential Speeches/Trump_2016-08-17.txt
Trump_2016_08_18,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Charlotte, North Carolina",./Total_Corpus of Presidential Speeches/Trump_2016-08-18.txt
Trump_2016_08_19,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Dimondale, MI.",./Total_Corpus of Presidential Speeches/Trump_2016-08-19.txt
Trump_2016_08_22,trump,"Donald Trump, Republican Presidential Candidate, Delivers Remarks At A Campaign Event",./Total_Corpus of Presidential Speeches/Trump_2016-08-22.txt
Trump_2016_08_23,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Austin, Texas",./Total_Corpus of Presidential Speeches/Trump_2016-08-23.txt
Trump_2016_08_24_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Tampa, Florida (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-08-24-A.txt
Trump_2016_08_24_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Jackson, Mississippi (24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-24-B.txt
Trump_2016_08_25,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Manchester, New Hampshire (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-08-25.txt
Trump_2016_08_30,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Everett, Washington (24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-30.txt
Trump_2016_08_31,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Phoenix, Arizona (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-08-31.txt
Trump_2016_09_01_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Wilmington, Ohio (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-09-01-A.txt
Trump_2016_09_01_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at the American Legion National Convention (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-09-01-B.txt
Trump_2016_09_06_A,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event",./Total_Corpus of Presidential Speeches/Trump_2016-09-06-A.txt
Trump_2016_09_06_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Greenville, North Carolina (24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-06-B.txt
Trump_2016_09_07_A,trump,"Donald Trump, Republican Presidential Candidate, Delivers Remarks at the Union League of Philadelphia",./Total_Corpus of Presidential Speeches/Trump_2016-09-07-A.txt
Trump_2016_09_07_B,trump,"Donald Trump, Republican presidential candidate, delivers remarks at the New York state Conservative Party presidential convention",./Total_Corpus of Presidential Speeches/Trump_2016-09-07-B.txt
Trump_2016_09_08,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Cleveland, Ohio",./Total_Corpus of Presidential Speeches/Trump_2016-09-08.txt
Trump_2016_09_09_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at the Values Voters Summit (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-09-09-A.txt
Trump_2016_09_09_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Pensacola, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-09-B.txt
Trump_2016_09_09,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at the Values Voters Summit (SD)",./Total_Corpus of Presidential Speeches/Trump_2016-09-09.txt
