term_id,term_str,tfidf_sum,n
0,a,0.0,28533
1,aback,0.00373248602439817,9
2,abaft,0.0008757734585981142,2
3,abandon,0.006992744962317526,44
4,abandoned,0.010043613393218864,68
5,abandoning,0.0032490419484368397,9
6,abandons,0.0012095968006088902,2
7,abasement,0.000978781097870702,2
8,abashed,0.0003112374181041006,1
9,abate,0.0004285237732329637,1
10,abated,0.003007632998901457,12
11,abatement,0.004119387342029252,4
12,abating,0.001128391452300349,3
13,abbe,0.00023562358712564952,1
14,abbess,0.019987361268208905,69
15,abbesss,0.00034842141562168373,1
16,abbey,0.02582106568340156,114
17,abbeys,0.0031316539188305666,4
18,abbot,0.009001905355214246,66
19,abbots,0.0031680854046839037,21
20,abbotsburys,0.0006171840301354781,1
21,abbreviated,0.0010540381290499849,2
22,abbreviation,0.0002478873914822784,2
23,abc,0.0025794227634811703,5
24,abdication,0.0002874196854428529,1
25,abduction,0.0006037960902193073,1
26,abductors,0.0008629521110299366,1
27,abdullah,0.002739458873391136,8
28,abed,0.0005662229940492135,2
29,abel,0.00012237555460504646,1
30,abels,0.00038534840460235437,1
31,abelwhite,0.0007219452387089066,3
32,abelwhites,0.00024064841290296886,1
33,abercrombie,0.000694332033902413,1
34,aberdeen,0.0005073473790584606,2
35,abet,0.00018324555470118541,1
36,abetting,0.0006801927717404034,1
37,abeyance,0.0009749533590134677,2
38,abhor,0.006468382717127844,14
39,abhorred,0.006703187172825448,16
40,abhorrence,0.004963387366277778,19
41,abhorrent,0.0020209167604383904,3
42,abhors,0.0006327310285817525,2
43,abide,0.0014149630473771855,7
44,abiding,0.00025866287850489475,1
45,abilities,0.009471180298820252,17
46,ability,0.0048208731172109266,20
47,abject,0.002981227083945495,7
48,abjure,0.00034014256324778086,1
49,ablaze,0.00038695551101635865,1
50,able,0.019639584389039583,315
51,ablewhite,0.030202550971619117,136
52,ablewhites,0.009095880820048753,30
53,abnormal,0.0006638282738460233,3
54,abnormally,0.0009025351526692763,3
55,aboard,0.005862365865891945,16
56,abode,0.008088827837330361,29
57,abodes,0.0005166429127277686,2
58,abominable,0.0037813874626447083,10
59,abominably,0.0015872016238681606,3
60,abomination,0.00040443387699340937,2
61,aboon,0.0008757734585981142,2
62,aboord,0.00035091048862864624,1
63,aboot,0.0010027553448486658,3
64,aborigines,0.000743147427564493,1
65,abortion,0.00030303011713074947,1
66,abortive,0.002319664366048042,4
67,abound,0.0009022201448768474,5
68,abounded,0.000247007491453353,1
69,abounding,0.0005884379279996609,3
70,abounds,0.0010394813188049402,1
71,about,0.016334454309671936,2000
72,above,0.021377222732615758,329
73,aboveboard,0.0012316371574827463,1
74,abraham,0.0012104244929030629,4
75,abrahams,0.00038534840460235437,1
76,abramoff,0.00044559764822481426,1
77,abreast,0.0029006641916049,6
78,abridged,0.000960563641993829,1
79,abridger,0.0019632836820688915,1
80,abridging,0.0005528911892120738,1
81,abroad,0.010960323796137941,54
82,abrupt,0.005367588791398608,25
83,abruptly,0.009412165963045423,57
84,abruptness,0.0023480665478283866,5
85,absconding,0.00034958833077308206,1
86,absence,0.018652117183229757,135
87,absent,0.01263171286384399,57
88,absented,0.0001239436957411392,1
89,absentee,0.0007374595167264958,1
90,absently,0.0003112374181041006,1
91,absolute,0.008557663738371945,60
92,absolutely,0.013892665727391491,115
93,absolution,0.0008878595297583856,2
94,absolved,0.0008082485784342936,3
95,absorb,0.0009662744895262284,3
96,absorbed,0.0064592996669347435,32
97,absorbing,0.004344406046972399,13
98,abstain,0.0005619448134409838,1
99,abstained,0.002023378952153572,3
100,abstinence,0.0013430985757445226,4
101,abstract,0.0045114761097139995,17
102,abstracted,0.0041906704198662196,16
103,abstractedly,0.0013045483628112311,3
104,abstraction,0.002077961148112169,7
105,abstractions,0.0003473585660454667,1
106,abstruse,0.00212944779025052,5
107,absurd,0.01009254777365024,41
108,absurdity,0.004998623493029273,15
109,absurdly,0.003628283279725642,10
110,abundance,0.001768476159529285,6
111,abundant,0.0015340404089936462,3
112,abundantly,0.0007746156740025586,3
113,abuse,0.003120495592089997,8
114,abused,0.0007800031431647208,4
115,abuses,0.000570454916206146,2
116,abusing,0.00037524715073695416,1
117,abusive,0.00030689084629669314,1
118,abut,0.00034209340138193444,1
119,abutted,0.0005447754655474407,2
120,abyss,0.00404607428764342,19
121,abysses,0.00040648222916110757,1
122,ac,0.001007297940619182,1
123,acacia,0.0004711585439759086,1
124,acant,0.0004378867292990571,1
125,acceded,0.00102566986936595,2
126,accelerate,0.00046684436282797546,2
127,accent,0.00657996413267041,26
128,accents,0.008889179537302089,43
129,accentuated,0.00040243373145701296,1
130,accentuation,0.00040648222916110757,1
131,accept,0.016147485978555448,114
132,acceptable,0.0013216275704951805,6
133,acceptance,0.0034597886760088883,7
134,accepted,0.013064729527459984,90
135,accepting,0.005532425555511877,19
136,accepts,0.0016025726978812747,5
137,access,0.008715082163530131,44
138,accessed,0.0006620374248280924,2
139,accessible,0.002529678215611694,5
140,accession,0.0037084345062985812,3
141,accessory,0.0015500799721445424,5
142,accident,0.014018396539116533,98
143,accidental,0.004446303973815698,18
144,accidentally,0.009159416888862248,30
145,accidents,0.00821529537247143,15
146,acclamation,0.0007613495601673448,2
147,acclivity,0.00041948258176823606,1
148,accommodate,0.004072354216090672,14
149,accommodated,0.0021928763238206117,8
150,accommodating,0.00018710508464559757,1
151,accommodation,0.003774820184596981,14
152,accommodations,0.0023988825136846996,7
