发布时间,微博id,微博正文,原始图片url,微博视频url,发布工具,点赞数,转发数,评论数
7/5/20 22:58,J9QnIaLrO,【观视频实习生招募计划】同学们同学们！暑假到了！机会来了！一直有很多同学表达过想要和小勺子一起建设观视频工作室的热情！这个夏天是“观视频工作室实习生”项目的第二年，加入我们，与张维为、陈平、范勇鹏、翟东升、余亮和马前卒等等各位大佬面对面接（gan）触（huo），想想就很带感！当然，我们也有一些要求，具体情况请看图中的内容吧。如果你有兴趣，请将你的简历投至我们的邮箱guan@guanvideo.com，并注明“观视频工作室实习生应征”，小勺子、小汤勺、小筷子和小叉子都在等你哦！                  原图                             ,http://wx4.sinaimg.cn/large/006C8qP7gy1gggho2zr0hj30u066d7wh.jpg,无,微博 weibo.com,908,52,108
8/16/20 21:14,JgdEu3qig,【#陈平对话温铁军#】“新冷战”之下，重新审视土地与文明【一小时完整版｜收藏向】#美国试图对华发起新冷战# 来了来了！小勺子带着陈老师温老师对话来了！各位一键三连都准备好了吗！一个小时的压缩饼干里，陈老师温老师讨论了很多话题，比如中美“新冷战”和意识形态之战；比如说土地制度，合村并居和粮食危机；还有特朗普的“空想资本主义”大梦！太多了！小勺子话不多说！各位点进来看吧！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,3374,2317,804
8/16/20 19:33,JgcZs4nIs,【睡前消息155：莫迪赶走华为中兴，诺基亚威胁印度：不付钱就停止服务】#印度# #华为# 印度不断推进把中国企业赶出印度市场的计划。六月份，印度国营电信公司（BSNL）拒绝采购华为和中兴的电信设备。这个决定刚刚执行，8月5日诺基亚对印度国营电信公司发出威胁，如果不支付1.2亿美元，就停止技术支持...全文 ,无,无,时事评论 · 视频社区,868,269,128
8/16/20 19:25,JgcVZ2S8l,同学们放假在家刷观视频固然好，但是为了大力发展工业文化，数理化学习可不要懈怠啦！这里给同学们推荐华东师范大学的“非常数学”盛典活动，在这几天里，每天都会通过直播的方式，为大家探讨数学和我们生活的关系！今天三位老师为我们带来的就是数学对于我们发展公共卫生的意义，没错，数学也是抗疫...全文 原图 ,http://wx4.sinaimg.cn/large/006C8qP7gy1ghsvj1ubrvj30ku10rq5c.jpg,无,微博 weibo.com,82,17,13
8/15/20 21:50,Jg4stqFxT,【#万物由来#002｜#螺蛳粉#】夜深人静，马前卒在实验室偷吃螺蛳粉...督工探讨螺蛳粉如何从地方特色食物发展成普及全国的网红食品——螺蛳粉的由来。 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/000bppI5gx07FF4agCog01041201WnaI0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622761&ssig=mCm4hm5u7L&KID=unistore,video",时事评论 · 视频社区,698,202,174
8/15/20 20:06,Jg3Mi2Qn7,【山高县：放弃幻想，美国对中国的态度叫“不接受投降”！】#山高县# 随着中美之间各方面的冲突加剧，美国对中国开始极限施压，在这种情况下，中国能选择“投降”吗？当然，这里的“投降”是一种泛指，尤其是自从中美贸易战以来，有些人提出，因为中国在美国创造的国际体系下是受益者，所以中国应该乖乖继续适应美国的要求，力求符合美国创立的规则，这样美国就会放过中国了。但山高县则认为，正相反！正因为中国是全球化体系中的一份子，所以美国才更不会接受你的“投降”…… 观视频工作室的微博视频                                 ,无,无,微博 weibo.com,1192,319,256
8/15/20 18:24,Jg36Qu2Zd,今晚，山高县将继续为我们讲述他眼中中美对抗的本质——面对美国，中国根本没有投降这一个选项。  原图 ,http://wx2.sinaimg.cn/large/006C8qP7gy1ghro2icyzcj30k00b9t97.jpg,无,微博 weibo.com,941,45,111
8/15/20 18:00,Jg2WZ7Pl2,【龚刚：市场可以有效配置资源？亚当·斯密：我可没说过...】#一勺思想# 市场经济真的能有效优化配置吗？那没完没了的失业，没完没了的经济危机，没完没了的高通胀，还有大量的资源进入了房地产产生的泡沫，都是哪来的？我们又如何去理解现实当中许多发展中国家都是执行市场经济，但是他们却陷入了比如说中等收入陷阱，甚至陷入了贫困陷阱。等等之类的。所以，云南财经大学经济学院院长龚刚老师，今天就来跟我们讲讲，市场真的能够有效配置资源吗？与此同时，如果市场不能有效配置资源的话，那么市场经济的魅力到底何在？ 观视频工作室的微博视频                                 ,无,无,公开课 · 视频社区,678,437,187
8/15/20 12:00,Jg0AQ9HtI,【预告·陈平对话温铁军】国家就是土地，权力的一切来源，都来源于土地。【8月16日，周日晚，上线】陈平对话温铁军重磅上线！各位，久等了！（嘿嘿，预告不仅是预告，还有彩蛋） 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/004ytILRgx07FDzNPyIL01041200s6Zv0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622768&ssig=%2BDZTHaTcZU&KID=unistore,video",时事评论 · 视频社区,1698,517,363
8/14/20 22:45,JfVol0C45,【预告】【余亮：你能摆脱身边的精神PUA陷阱吗？】#我的心动书单# 余老司说，PUA不仅存在于人与人的各种关系中，国家与国家之间也会有！美国就是个PUA大国！那面对身边的各种精神PUA陷阱，我们应该怎么办？视频完整版：【从书说起】你能摆脱身边的精神PUA陷阱吗？ 观视频工作室的微博视频  ,无,"http://cache.m.iqiyi.com/tmts/6256592800026800/749d9b508acf0817006ab14314f79b57/?type=m3u8&qdv=1&t=1597558455676&src=02029022240000000000&vf=ce95bef6c15a082fc0148b0eec563915&Expires=1597622769&ssig=zayuRtV7Ud&KID=unistore,video",时事评论 · 视频社区,436,116,77
8/14/20 21:40,JfUXQ7IyS,【睡前消息154：676分学考古，争论双方的“共识”错了】#马前卒施工队# #北大考古系# 今年高考，耒阳市钟芳蓉考了676分，湖南省文科第四，最后选择了北大考古系。这个志愿被媒体报道以后，在青年人中引发了巨大争议。督工认为：对社会有用的人才，不应该无名无利。钟芳蓉选了考古系，全社会都预计她未...全文 ,无,无,时事评论 · 视频社区,1246,258,220
8/14/20 19:29,JfU6M8kz6,【也说· 特别版】#老马综艺首秀#！炎炎夏日，最适合去的地方当然是..#上海书展#  上海最近天天40度高温，但空巢老人出巢了，他带着东北JK小明和（不是静静的）闹闹“公 费 出 巢”了！到底是哪里，让他们在这么热的天勇于出门？到底是什么，让他们在现场激烈讨论？是人性的..还是道德的...（%¥@%%....）！言归正传，小勺子也想问问大家，最近都看了些什么书，现在还会买纸质书吗？会的朋友能不能跟小勺子分享一下呀～ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,149,28,49
8/14/20 15:59,JfSJD8cq0,【#这就是中国#：美国为什么无法大规模建5G？动了利益集团的奶酪！】张老师说，“要致富先修路”这话没错，但是修路和致富有时不是同时发生的，这段时间的牺牲，就是对一种制度的考验！ 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/000GMlfdgx07FD5bqTJC01041200Ofso0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622775&ssig=6iThA%2FSsrh&KID=unistore,video",时事评论 · 视频社区,343,71,100
8/14/20 14:03,JfRYod5zk,【也说·预告】什么？听说老马上综艺了？今天！老马带着办公室俩小伙伴出！街！今晚节目上线！不见不散！ 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/004DHvKTgx07FCXcTLAb010412009lnm0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622783&ssig=zjcD7k1li4&KID=unistore,video",微博 weibo.com,64,1,11
8/13/20 23:12,JfM8B7jeY,【#我们生长的地方#】【#马前卒#西安游：秦岭与长安】城市的位置和城市本身一样重要，只有理解历代皇帝在这里建设首都的原因，才能真正理解西安这座城市，秦岭作为分割中国南北的山脉，给西安提供的不仅仅是保护，还有水源和宗教力量。沿着秦岭山麓前进，我们发现了古代王朝定都的理由。 观视频工作室的微博视频                                 ,无,无,历史 · 视频社区,843,330,173
8/13/20 20:04,JfKUvhHRq,【江晓原：被中国人捧上天的西方学术标准，其实也是资本的赚钱工具？】 #一勺思想# 噔噔噔新大佬，江晓原老师！小勺子先搬江老师的原话：“我们这里很多人精神上跪倒在类似于Nature/Science等杂志，不肯把论文写在祖国大地上。如果你是为人民做科研、为国家做科研，外国人知不知道这个，不重要嘛！”能说出如此震撼之语的是谁？小勺子介绍一下江老师，本科读了天体物理专业，任职于上海天文台15年，现在是上海交通大学的客座教授，是交大科学史与科学文化研究院首任院长！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,1052,277,170
8/13/20 18:42,JfKn783qG,【潘妮妮：“土味文化”的流行，是日本年轻人粗糙又暴躁的自嘲】#又见日本#《飞翔吧！埼玉》是2019年日本话题性“土味电影”，妮妮老师说这部电影非常中二，看过的老二次元们请举手！！妮妮老师今天来跟我们聊聊，为什么最近日本年轻人中间开始流行起土味文化了？小勺子给看完视频的同学留个思考题哈，日本流行的“土味文化”和中国流行的“土味文化”有什么区别吗？ 观视频工作室的微博视频                                 ,无,无,公开课 · 视频社区,262,72,57
8/13/20 16:07,JfJmoo4M2,【项立刚：美国欧洲为啥没有健康码追踪病情？他们做不到！】#这就是中国# #健康码# 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/002jQVmagx07FBuQFAhh01041200TedB0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622791&ssig=QJp1QhKL18&KID=unistore,video",时事评论 · 视频社区,686,124,160
8/12/20 18:38,JfAV83hUI,【郑若麟：这家俄罗斯媒体，是怎么“攻陷”法国的？】#今日俄罗斯# #V光计划# 大家都知道郑老师是CGTN的法语频道主持人，郑老师说他节目，平时有能达到十几万播放量的，但是大多数情况下都是几百个，有个上千人看就不得了。为什么呢？要讲清楚这个问题，郑老师给我们举了个榜样，@今日俄罗斯RT ！郑老师为我们归纳了几点RT成功的原因，并鼓励我们的媒体也要多学习RT的成功经验啊！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,2720,485,293
8/12/20 11:13,Jfy0ei4Dt,最近很多同学提醒小勺子，关于陈平老师的各种争议多了起来，小勺子表示不用担心，小问题！首先，关于陈老师的观点本身，非常欢迎任何人指出不同意见，陈老师很早就说过自己不怕犯错，就是要把一些观点大胆提出来，等着大家来挑战，有争议很好，科学越辩越明！陈老师之后也会将自己对高收入陷阱的思考全部分享给大家！然后，出现一些对陈老师人身攻击的情况，这个请同学们放心，陈老师不会受影响。很多年轻的同学可能不太知道好多年前，陈平、张维为老师他们所面对舆论局面，别说人身攻击，直接骂街都是见怪不怪的……与其伤神搭理那些，把更多时间精力拿来探讨问题本身不才是要紧事？哎哎不说了不说了，双击打开《陈老师温老师对话》文件夹，好好干正事！                                 ,无,无,微博 weibo.com,1853,57,397
8/11/20 21:36,JfsEPxifY,【陈平：中美发生海空热战的可能性有多大？很大！】#中美会发生热战吗# 熟悉历史的各位都知道，美国是在两次世界大战里发了横财的，还解决了当年的美国大萧条。这次新冠疫情产生的经济后果比当年大萧条还要严重，那么美国会不会挑起战争解决就业问题，从而解决经济问题呢？得知陈老师要讲这个话题的时候，小勺子又激动又震惊！陈老师从经济角度出发，分析了核平衡、美国军火集团、东海作战等等的可能性...精彩！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,5356,1622,892
8/11/20 20:14,Jfs7szzt0,【唐毅南：500强榜单不仅代表企业的优劣，更是国家的潜力与未来！】#2020年财富中国500强# 昨天小勺子跟财富一起发布了今年500强榜单，小勺子左看右看只看出一个名堂，中国企业超过美国企业了！好！棒！厉！害！但是唐老师说，勺子你看得太简单了，还有更多奥秘！其实吧，这个榜单一旦进行系统性地分门别类，好好分析产业布局，我们就能看出这个国家的未来和走向...不知道看完视频的各位同学，能不能根据唐老师说的写篇小论文分析各国走向呀？ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,700,215,71
8/11/20 18:35,Jfrtpxjln,【睡前消息153：抛弃孙中山百年“遗产”，台湾两党废弃“三民五权”】#台湾立法会又打架# #台湾# 台湾省又现“立法院”打架事件，孙中山时代创立的“五权宪法”中的“监察院”、“考试院”被国民党主动提出要废除。这样的改变是什么目的、会对台湾省有什么影响呢？马督工剖析台湾省政治体系后表示：没啥影响，早该没了。 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,904,213,172
8/11/20 15:04,Jfq5CFRnp,【#这就是中国#：中国“新基建”可以为我们带来#第四次工业革命#吗？】 观视频工作室的微博视频  ,无,"http://f.video.weibocdn.com/004ChHv6gx07FyeHKEqj01041200H8Ew0E010.mp4?label=mp4_hd&template=852x480.25.0&trans_finger=1621fcd5d40969f1c74e6b06e52fcd54&Expires=1597622817&ssig=hiHXXYM7hQ&KID=unistore,video",时事评论 · 视频社区,219,55,21
8/10/20 20:23,JfiKFB2TV,【宁南山：技术第一？产量第一？利润第一？中国制造：我全都要】#2020年财富中国500强# 小勺子刚刚还跟爱奇艺和财富一起发布了今年500强企业名单，宁南山老师就带来了500强之外的中国国企！这些国企虽然还没有入榜，但个个都是中流砥柱啊！非常有潜力！比如中国商飞自制的民航客机..比如以核电技术为核心的中核集团...再比如制造PU的万华化学！一起来听@深圳宁南山 介绍吧！ 观视频工作室的微博视频                                 ,无,无,深度报道 · 视频社区,1000,381,145
8/10/20 18:31,Jfi1o6Tc4,【郑戈：香港考卷竟问出“抗日战争利多于弊？”，国安法能改变香港教育“港独”现状吗？】#黎智英等7人违反香港国安法被拘捕# #V光计划# 小勺子下午看到一个好消息！香港国安法生效后，乱港分子“壹传媒”黎智英等人被港警拘捕！国安法生效之前，香港的教育、警察和传媒乱象丛生。香港一度曾是一个连警察都感觉不到安全的城市，去年发生的暴力事件相信同学们也是历历在目...我们惋惜香港普通年轻人的遭遇，郑戈老师今天来跟我们讲香港教育烂根的问题在哪！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,625,120,86
8/10/20 17:55,JfhMAAtxk,【#2020年财富世界500强#榜单发布，#中国大陆上榜企业数量首次超美国# 】@爱奇艺随刻 携手 @财富中文网，财富Plus App、@观视频工作室，用一支视频呈现中国企业26年的榜单历程，共同见证历史性突破。2001年，中国加入世贸组织，同年12家中国企业进入《财富》世界500强。2008年，全球金融危机，中国却逆流而上，同年进入《财富》世界500强的企业数量以爆发性的速度增长，连续超过了德法英三国，而后超越了日本。而今年，中国大陆企业实现历史性跨越，上榜企业数量超过美国，位列榜单第一。未来，中国企业要做的是超越我们自己！同学们，你们认为中国企业的核心竞争力是什么？#最令你尊敬的中国企业有哪些#，欢迎通过评论留下你的看法！ 观视频工作室的微博视频                                 ,无,无,时事评论 · 视频社区,669,145,102
